Placement:Delivery zone
-6,0,-20.79|1,1,1|0,0,0,1|0,0,0
Placement:Box
0,-0.5,0|45,1,60|0,0,0,1|0,0,0
Placement:Box Objective
-12,0.19,-12|1,1,1|0,0,0,1|0,-0.5,0
-12,1.53,-12|1,1,1|0,0,0,1|0,-0.5,0
-12,2.99,-12|1,1,1|0,0,0,1|0,-0.5,0
-12,0.19,-18|1,1,1|0,0,0,1|0,-0.5,0
-12,1.53,-18|1,1,1|0,0,0,1|0,-0.5,0
-12,2.99,-18|1,1,1|0,0,0,1|0,-0.5,0
-10.25,0.19,-12|1,1,1|0,0,0,1|0,-0.5,0
-10.25,0.19,-14|1,1,1|0,0,0,1|0,-0.5,0
-10.25,0.19,-16|1,1,1|0,0,0,1|0,-0.5,0
-10.25,0.19,-18|1,1,1|0,0,0,1|0,-0.5,0
-10.25,1.53,-12|1,1,1|0,0,0,1|0,-0.5,0
-10.25,1.53,-14|1,1,1|0,0,0,1|0,-0.5,0
-10.25,1.53,-16|1,1,1|0,0,0,1|0,-0.5,0
-10.25,1.53,-18|1,1,1|0,0,0,1|0,-0.5,0
-10.25,2.99,-12|1,1,1|0,0,0,1|0,-0.5,0
-10.25,2.99,-14|1,1,1|0,0,0,1|0,-0.5,0
-10.25,2.99,-16|1,1,1|0,0,0,1|0,-0.5,0
-10.25,2.99,-18|1,1,1|0,0,0,1|0,-0.5,0
-13.75,0.19,-12|1,1,1|0,0,0,1|0,-0.5,0
-13.75,0.19,-14|1,1,1|0,0,0,1|0,-0.5,0
-13.75,0.19,-16|1,1,1|0,0,0,1|0,-0.5,0
-13.75,0.19,-18|1,1,1|0,0,0,1|0,-0.5,0
-13.75,1.53,-12|1,1,1|0,0,0,1|0,-0.5,0
-13.75,1.53,-14|1,1,1|0,0,0,1|0,-0.5,0
-13.75,1.53,-16|1,1,1|0,0,0,1|0,-0.5,0
-13.75,1.53,-18|1,1,1|0,0,0,1|0,-0.5,0
-13.75,2.99,-12|1,1,1|0,0,0,1|0,-0.5,0
-13.75,2.99,-14|1,1,1|0,0,0,1|0,-0.5,0
-13.75,2.99,-16|1,1,1|0,0,0,1|0,-0.5,0
-13.75,2.99,-18|1,1,1|0,0,0,1|0,-0.5,0
0,0.19,-12|1,1,1|0,0,0,1|0,-0.5,0
0,1.53,-12|1,1,1|0,0,0,1|0,-0.5,0
0,2.99,-12|1,1,1|0,0,0,1|0,-0.5,0
